,postcode,loneliness_zscore,ranked,deciles
642,PA237HW,1.1401654832827166,544.0,7
643,PA238BG,-1.9007613855824503,178.0,2
644,PA238SE,7.6940739714728945,729.0,9
645,PA248AQ,0.3417546008519472,458.0,6
646,PA26LR,-0.1418809491460632,387.0,5
647,PA26LW,-2.392493757261107,117.0,1
648,PA278BX,1.126119760866161,539.0,7
649,PA286AT,2.200470542743347,610.0,8
650,PA286QG,0.9101332150257604,522.0,7
651,PA28DX,-0.9523145706767788,279.0,3
652,PA296TY,-3.1629249484799775,65.0,0
653,PA296XD,-2.894305050716688,85.0,1
654,PA318JZ,-0.03254877824104985,405.0,5
655,PA31NT,2.04806755211571,604.0,8
656,PA328XN,4.429514701639745,689.0,9
657,PA32DY,0.0771617547964305,423.0,5
658,PA32HQ,-1.0700900301654221,260.0,3
