postcode,loneliness_zscore,ranked,deciles
FK94NJ,-3.8055567282530007,36.0,0
FK94SW,-5.832023330129234,6.0,0
G115LL,2.4886772587441626,622.0,8
G115NG,0.30646596160611744,447.0,6
G115PE,-3.426050715811929,57.0,0
G117AD,-1.4558569426098258,220.0,2
G117SY,-0.17274850027686586,388.0,5
G128ED,0.5037312551232525,471.0,6
G128ND,0.5835987549540754,482.0,6
G128SP,-0.8376089222804296,301.0,4
G129JE,1.3786609729412644,557.0,7
G129LD,0.15795318723823404,428.0,5
G129PN,-0.5566120700875379,336.0,4
G131JE,-3.196315542829917,68.0,0
G132SW,-3.222115638890156,65.0,0
G132UP,-0.40497854003221895,356.0,4
G134PU,0.5738663438663149,481.0,6
G140EA,1.113350151943119,535.0,7
G140NT,-4.429099748648794,16.0,0
G140XT,-0.5594632609038133,335.0,4
G149DR,0.38662600858125695,459.0,6
G149PS,-0.2583732260972534,380.0,5
G149SS,-1.1131020236992655,262.0,3
G149UT,-1.5225543846512593,209.0,2
G149UU,9.010027899009916,730.0,9
G149XL,-1.3159507527879801,237.0,3
G156EG,-2.8273167930138006,87.0,1
G157TS,-1.8178417783791203,174.0,2
G206HS,-3.4594874345188535,55.0,0
G207ER,-0.6366079518571088,321.0,4
G208FB,-3.7037873869452,42.0,0
G211TR,-2.86461016689208,85.0,1
G213RW,-3.39788052272219,58.0,0
G214AH,-2.8051309134445717,89.0,1
G225AP,-1.9454965952301762,161.0,2
G225SS,-3.837180542790407,33.0,0
G226BD,0.18922845429286506,432.0,5
G227JL,-3.666099754201629,45.0,0
G311QS,-0.10820688180829141,395.0,5
G312ES,-3.1627634553087165,72.0,0
G312XE,-2.6700574793098095,104.0,1
G313BP,1.4288765063696927,560.0,7
G314UW,-1.780292736253645,179.0,2
G315BA,-2.345028780018664,126.0,1
G315RA,0.08719085392204251,424.0,5
G326JP,-0.8188075986922637,303.0,4
G326NB,-1.8504184353808895,170.0,2
G327JZ,-2.290558691922098,132.0,1
G328UH,-3.6142343949658375,47.0,0
G331EY,-2.695025735081884,100.0,1
G333AL,-5.906638645649853,5.0,0
G333TU,-2.40319094028853,123.0,1
G336EY,-1.2438817470168742,245.0,3
G336HA,-2.653767303793708,105.0,1
G349HQ,-3.4456708047345006,56.0,0
G37UA,-0.42506861342109237,351.0,4
G38ND,-2.2780552116792987,133.0,1
G401HA,-4.686649760564013,12.0,0
G402DA,-0.4486067932540051,349.0,4
G403LJ,1.4050561448587815,558.0,7
G40UP,-7.20910889448642,3.0,0
G411HU,-3.4772558157124966,53.0,0
G411NX,3.179863070995471,647.0,8
G413PT,-1.6157116533795022,196.0,2
G413RG,-4.131839174250144,25.0,0
G413UJ,-0.66979188559425,315.0,4
G413YA,0.4238362234707247,464.0,6
G413YT,-1.922378348949731,164.0,2
G415RU,0.39526470065023916,461.0,6
G420EH,-4.667458535122471,13.0,0
G427AF,-2.8216679225947354,88.0,1
G427DR,-2.518810703240054,114.0,1
G428QD,-0.8081082333597609,304.0,4
G429JT,-1.0881992723156686,268.0,3
G429LQ,-2.021965037736325,155.0,2
G431RR,-0.5878414236853515,330.0,4
G443DH,-2.7034970833651,99.0,1
G444JE,-1.159690247269081,255.0,3
G445DQ,-0.599466036880419,327.0,4
G445JT,-3.0033903660847896,79.0,1
G459AW,-4.53553919059419,15.0,0
G468DH,-0.6491984570982046,318.0,4
G468NY,-2.7121108787724806,98.0,1
G49BL,0.037466820518258365,413.0,5
G511AT,-1.5871215742258384,202.0,2
G511HS,-0.014717860388971549,407.0,5
G511RN,1.8185272146717963,591.0,8
G511SL,-2.734495327670147,96.0,1
G514BJ,-3.1956180224755615,69.0,0
G522AZ,-1.539094992474321,206.0,2
G523QN,-3.79500752023273,39.0,0
G523SS,-1.0757667384833627,270.0,3
G535QD,-1.4672568546719469,217.0,2
G536EQ,-3.196850084223893,67.0,0
G537FY,-4.728011033137646,11.0,0
G59AB,-1.6639488667663536,188.0,2
G59RP,-1.268007862705354,242.0,3
G605JG,-0.576995086300617,333.0,4
G612DN,1.2582733412289828,544.0,7
G612SY,0.4002118346967957,462.0,6
G613RD,1.2546962347840185,543.0,7
G626BT,-1.6628062202707186,190.0,2
G628BT,-1.4989486017440214,213.0,2
G630DP,0.04151481121722278,414.0,5
G630TS,-1.0934869972555092,266.0,3
G639EG,0.6937546011004879,495.0,6
G639NA,-1.2131267656514182,250.0,3
G641NF,-2.939610555320543,82.0,1
G641PJ,-0.8764544676024557,293.0,3
G642AA,5.991434849392013,707.0,9
G659JE,0.016205900079586222,412.0,5
G661DH,-4.251315696714216,23.0,0
G661DN,-0.46956048003911965,346.0,4
G661JB,-1.831456544126723,173.0,2
G661NH,-0.6742788608496739,314.0,4
G663BF,-0.7616340998366924,310.0,4
G667JJ,-1.5321797973615423,208.0,2
G671BJ,-3.0232874879151344,78.0,1
G671BP,-0.29707397761117377,373.0,5
G672ES,-3.2642409611807492,64.0,0
G673BE,0.8961590388734813,510.0,6
G674DN,-1.4231772530625908,225.0,3
G697AD,-1.2170991376882676,249.0,3
G699DW,-0.5757289085479373,334.0,4
G715RR,0.6385623281500536,487.0,6
G715SU,0.2143645055306514,436.0,5
G717NE,-1.4651473411276446,219.0,2
G718ET,0.4959911740118715,469.0,6
G720BS,-0.26025095810816357,379.0,5
G727EX,2.6179521038515987,626.0,8
G728AT,-5.071079808049187,9.0,0
G728HA,-1.7913957814445327,177.0,2
G728RW,-0.48807156937960033,343.0,4
G732LD,-7.0982512382497145,4.0,0
G732PQ,-0.8383071585600059,300.0,4
G741AD,-1.0687109620060813,271.0,3
G743BE,-0.10254741058642591,398.0,5
G750RT,-1.9839851284042567,158.0,2
G767BU,4.051784816627462,676.0,9
G767BX,-0.8268023275108874,302.0,4
G767HN,0.9589544508814696,518.0,7
G767NW,-0.7333261117048335,312.0,4
G775BQ,-1.4478257730029256,223.0,3
G775LU,-3.471711108190189,54.0,0
G776GR,0.242714535854629,440.0,5
G781SW,-2.782700044709924,91.0,1
G783HJ,0.38656427704190754,458.0,6
G812TQ,-1.8766489760696934,168.0,2
G821PW,-0.41100304707758945,354.0,4
G830NB,1.6069542153218346,575.0,7
G830UA,-3.941845277464028,29.0,0
G830UE,-0.21570528760011926,384.0,5
G837AE,3.660939536582617,664.0,9
G840JL,0.5385886424921716,477.0,6
G840SL,1.7687706078110355,588.0,8
G847QL,-1.6927211252756098,187.0,2
HS12PS,0.07451690509058234,420.0,5
HS12XB,-0.43983954771332495,350.0,4
HS29JP,2.3063611048224506,615.0,8
