lsoa21_code,loneliness_zscore,rank,deciles
W01000524,-1.1413118371246511,325.0,1.0
W01000525,-1.3597532530805776,277.0,1.0
W01000527,-2.9647195944964793,106.0,0.0
W01000528,-4.648466222126245,30.0,0.0
W01000531,-0.9004074722855823,398.0,2.0
W01000533,-0.06779067653234312,655.0,3.0
W01000534,-1.0042901179741226,365.0,1.0
W01000535,-2.4585304854186703,137.0,0.0
W01000536,-1.6565280500213513,217.0,1.0
W01000537,-3.440052838941511,74.0,0.0
W01000538,-0.9608354578293573,376.0,1.0
W01000539,-1.2561987707648639,302.0,1.0
W01000540,-1.0043847557015062,364.0,1.0
W01000541,-2.828047871084367,116.0,0.0
W01000542,-1.1342836943752173,330.0,1.0
W01000543,-1.5311074080741205,245.0,1.0
W01000545,-0.6943434045691337,450.0,2.0
W01000546,0.17941328368650486,743.0,3.0
W01000547,0.4935651121808022,938.0,4.0
W01000548,-1.6626543327084247,214.0,1.0
W01000549,-1.5648169924862445,238.0,1.0
W01000550,-1.0029031647611395,367.0,1.0
W01000551,-1.0353771862528514,358.0,1.0
W01000552,-0.5473229186119966,495.0,2.0
W01000553,1.6345035153156162,1570.0,8.0
W01000554,-1.4682257957844773,254.0,1.0
W01000555,-2.144353194853188,168.0,0.0
W01000556,-1.0546306391060927,349.0,1.0
W01000557,-0.3905210904350828,536.0,2.0
W01000558,-1.4811237589483193,251.0,1.0
W01000559,-4.303190811718445,43.0,0.0
W01000560,-3.7166635776597925,58.0,0.0
W01000561,-5.969736832140919,9.0,0.0
W01000562,-1.4137793806588186,267.0,1.0
W01000563,0.36428476481984307,860.0,4.0
W01000564,2.5218113756292,1830.0,9.0
W01000565,-0.08003216926055297,654.0,3.0
W01000566,-0.18841013910660478,616.0,3.0
W01000567,-2.9981893646178706,103.0,0.0
W01000569,-2.9224894372904737,110.0,0.0
W01000570,-1.3103581187018245,289.0,1.0
W01000571,-1.0458630928659773,353.0,1.0
W01000572,-3.5278214294841486,69.0,0.0
W01000573,-0.8475976302473894,411.0,2.0
W01000574,-1.8622290459027164,194.0,1.0
W01000575,-1.1587825677845278,321.0,1.0
W01000576,1.4344686624829648,1495.0,7.0
W01000577,0.9414976263164476,1212.0,6.0
W01000578,-1.2489792795033041,303.0,1.0
W01000579,-1.3809563334452037,273.0,1.0
W01000580,-1.6148111177127888,225.0,1.0
W01000581,-0.5515759141229114,494.0,2.0
W01000582,-2.426132242054085,139.0,0.0
W01000583,-0.5864288129180838,480.0,2.0
W01000584,0.030166776446322346,684.0,3.0
W01000585,-0.9496598404549751,381.0,1.0
W01000586,-1.1951783274236085,316.0,1.0
W01000587,0.9865846535230689,1248.0,6.0
W01000588,-0.572503888937118,487.0,2.0
W01000589,0.7795743899753146,1105.0,5.0
W01000590,0.6690386656345354,1039.0,5.0
W01000591,0.2553189601700477,789.0,4.0
W01000592,0.31618724914038643,833.0,4.0
W01000594,1.0290243369350154,1277.0,6.0
W01000595,1.0182934009399114,1269.0,6.0
W01000596,0.9391583217650759,1209.0,6.0
W01000597,0.2117734981138878,760.0,3.0
W01000598,0.17373561244944621,741.0,3.0
W01000599,-1.6161729853508422,224.0,1.0
W01000600,-1.5147312260131935,250.0,1.0
W01000601,-1.2634244294643562,301.0,1.0
W01000602,-0.6544461017315901,460.0,2.0
W01000603,-5.334454178564508,16.0,0.0
W01000604,-2.80391408830057,118.0,0.0
W01000605,-4.593722393419031,32.0,0.0
W01000606,-2.418298997834021,141.0,0.0
W01000607,-1.8717187511901148,191.0,0.0
W01000608,-2.0581139992008426,179.0,0.0
W01000609,-1.690352424014209,210.0,1.0
W01000610,1.1462612168254582,1364.0,7.0
W01000611,-2.672173760139751,126.0,0.0
W01000612,1.0813683313171287,1320.0,6.0
W01000613,-0.3009765064400701,562.0,2.0
W01000614,-0.8804482045544639,403.0,2.0
W01000617,-1.5434152361463378,243.0,1.0
W01000618,-0.04632963177508222,660.0,3.0
W01000619,1.1204866690512558,1351.0,7.0
W01000622,-1.1879688603663503,318.0,1.0
W01000623,-1.9054253284676752,187.0,0.0
W01000624,-3.402572218212327,76.0,0.0
W01000625,0.293510710877089,810.0,4.0
W01000626,0.3856286430676424,873.0,4.0
W01000627,0.22260907537498945,769.0,4.0
W01000628,0.8296688855488774,1135.0,5.0
W01000629,0.6547925352381657,1031.0,5.0
W01000630,0.6905122309447329,1050.0,5.0
W01000631,0.6282851527980904,1020.0,5.0
W01000632,0.1996274945501328,755.0,3.0
W01000633,0.3316948890250588,838.0,4.0
W01000634,0.45312772016381786,914.0,4.0
W01000635,-0.28854472441315104,568.0,2.0
W01000636,0.562639205696532,979.0,5.0
W01000637,-4.353484301586871,38.0,0.0
W01000638,-3.6318692870348244,64.0,0.0
W01000639,-3.329260720234726,85.0,0.0
W01000640,-5.2095152538861615,19.0,0.0
W01000641,-3.180626235512286,96.0,0.0
W01000642,-4.122032214502768,51.0,0.0
W01000643,-4.620823400254733,31.0,0.0
W01000644,-5.085454297501569,21.0,0.0
W01000645,-3.0918698336921344,99.0,0.0
W01000646,-1.901807859614811,189.0,0.0
W01000647,-0.7120099830552993,444.0,2.0
W01000648,-3.5861086841879453,67.0,0.0
W01000649,-4.214135674568847,45.0,0.0
W01000650,-2.1561363108555724,167.0,0.0
W01000651,1.5409415150401182,1536.0,8.0
W01000652,1.9885608304932767,1698.0,8.0
W01000653,0.4301325471203671,895.0,4.0
W01000654,0.2638341366038836,797.0,4.0
W01000655,1.511341191711585,1527.0,8.0
W01000656,0.1676765638462859,739.0,3.0
W01000657,0.10005609136372282,716.0,3.0
W01000658,0.27744018792488634,806.0,4.0
W01000659,0.4441286443588554,902.0,4.0
W01000660,0.3950760590682117,879.0,4.0
W01000662,0.7642368486763184,1089.0,5.0
